AccidentType,Date,Time,Reason
perturbation,2019/1/10,16:11:49,Technique reason
perturbation,2019/1/9,18:21:55,Passenger reason
perturbation,2019/1/9,15:27:35,Security reason
perturbation,2019/1/7,20:18:53,Passenger reason
perturbation,2019/1/4,11:00:35,Passenger reason
perturbation,2018/12/31,7:17:21,Technique reason
perturbation,2018/12/27,15:49:32,Passenger reason
perturbation,2018/12/27,15:19:29,Passenger reason
perturbation,2018/12/20,14:34:02,Technique reason
perturbation,2018/12/20,7:06:06,Techique reason
perturbation,2018/12/19,20:04:39,Techique reason
perturbation,2018/12/19,6:38:31,Techique reason
perturbation,2018/12/18,6:01:37,Track construction
perturbation,2018/12/18,5:46:46,Track construction
perturbation,2018/12/14,5:41:26,Social movement
perturbation,2018/12/13,5:54:41,Techique reason
perturbation,2018/12/12,8:39:17,Security reason
perturbation,2018/12/12,8:08:17,Security reason
perturbation,2018/12/10,6:39:54,Techique reason
perturbation,2018/12/8,17:33:38,Passenger reason
perturbation,2018/12/7,4:27:02,Social movement
perturbation,2018/12/6,16:55:01,Techique reason
perturbation,2018/12/3,10:11:47,Technique reason
perturbation,2018/12/3,8:31:23,Technique reason
perturbation,2018/12/3,7:39:41,Technique reason
perturbation,2018/12/3,6:24:51,Technique reason
perturbation,2018/11/28,7:41:44,Passenger reason
perturbation,2018/11/28,7:00:49,Technique reason
perturbation,2018/11/26,8:25:11,Passenger reason
perturbation,2018/11/22,18:03:51,Passenger reason
perturbation,2018/11/22,17:59:41,Passenger reason
perturbation,2018/11/22,16:10:42,Passenger reason
perturbation,2018/11/21,17:16:01,Techique reason
perturbation,2018/11/20,16:06:47,Operation problem
perturbation,2018/11/18,6:32:34,Techique reason
perturbation,2018/11/17,16:14:30,there is no reason
perturbation,2018/11/16,20:26:56,Techique reason
perturbation,2018/11/16,17:28:51,Techique reason
perturbation,2018/11/16,17:21:43,Techique reason
perturbation,2018/11/15,10:57:37,Passenger reason
perturbation,2018/11/15,7:48:07,Passenger reason
perturbation,2018/11/15,7:39:32,Passenger reason
